HCPCS_CD,HCPCS_CD_DESC
1160F,"REVIEW OF ALL MEDICATIONS BY A PRESCRIBING PRACTITIONER OR CLINICAL PHARMACIST (SUCH AS, PRESCRIPTIONS, OTCS, HERBAL THERAPIES AND SUPPLEMENTS) DOCUMENTED IN THE MEDICAL RECORD (COA)"
11620,"REMOVAL OF CANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.5 CM OR LESS"
11621,"REMOVAL OF CANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.6-1.0 CM"
11622,"REMOVAL OF CANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 1.1-2.0 CM"
11623,"REMOVAL OF CANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 2.1-3.0 CM"
11624,"REMOVAL OF CANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 3.1-4.0 CM"
11626,"REMOVAL OF CANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM"
11640,"REMOVAL OF CANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS"
11641,"REMOVAL OF CANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.6-1.0 CM"
11642,"REMOVAL OF CANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 1.1-2.0 CM"
11643,"REMOVAL OF CANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.1-3.0 CM"
11644,"REMOVAL OF CANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 3.1-4.0 CM"
11646,"REMOVAL OF CANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, MORE THAN 4.0 CM"
1170F,FUNCTIONAL STATUS ASSESSED (COA) (RA)
11719,TRIMMING OF FINGERNAILS OR TOENAILS
11720,"REMOVAL OF FINGERNAILS OR TOENAILS, 1-5 NAILS"
11721,"REMOVAL OF FINGERNAILS OR TOENAILS, 6 OR MORE NAILS"
11730,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL"
11732,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, EACH ADDITIONAL NAIL"
11740,REMOVAL OF BLOOD ACCUMULATION UNDER FINGERNAIL OR TOENAIL
11750,PERMANENT REMOVAL FINGERNAIL OR TOENAIL
11752,REMOVAL OF NAIL WITH AMPUTATION OF FINGERTIP
11755,BIOPSY OF FINGERNAIL OR TOENAIL
1175F,FUNCTIONAL STATUS FOR DEMENTIA ASSESSED AND RESULTS REVIEWED (DEM)
11760,REPAIR OF FINGERNAIL OR TOENAIL BED
11762,REPAIR OF FINGERNAIL OR TOENAIL BED WITH GRAFT
11765,REMOVAL OF SKIN OF FINGERNAIL OR TOENAIL
11770,SIMPLE REMOVAL OF CYST OF TAILBONE
11771,EXTENSIVE REMOVAL OF CYST OF TAILBONE
11772,COMPLICATED REMOVAL OF CYST OF TAILBONE
1180F,ALL SPECIFIED THROMBOEMBOLIC RISK FACTORS ASSESSED (AFIB)
1181F,NEUROPSYCHIATRIC SYMPTOMS ASSESSED AND RESULTS REVIEWED (DEM)
1182F,"NEUROPSYCHIATRIC SYMPTOMS, ONE OR MORE PRESENT (DEM)"
1183F,"NEUROPSYCHIATRIC SYMPTOMS, ABSENT (DEM)"
11900,"INJECTION INTO SKIN GROWTH, 1-7 GROWTHS"
11901,"INJECTION INTO SKIN GROWTH, MORE THAN 7 GROWTHS"
11920,"TATTOOING OF SKIN TO CORRECT COLOR ISSUE, 6.0 SQ CM OR LESS"
11921,"TATTOOING OF SKIN TO CORRECT COLOR ISSUE, 6.1-20.0 SQ CM"
11922,"TATTOOING OF SKIN TO CORRECT COLOR ISSUE, EACH ADDITIONAL 20.0 SQ CM"
11950,"INJECTION OF FILLING MATERIAL UNDER SKIN, 1.0 CC OR LESS"
11951,"INJECTION OF FILLING MATERIAL UNDER SKIN, 1.1-5.0 CC"
11952,"INJECTION OF FILLING MATERIAL UNDER SKIN, 5.1-10.0 CC"
11954,"INJECTION OF FILLING MATERIAL UNDER SKIN, MORE THAN 10.0 CC"
11960,INSERTION OF TISSUE EXPANDER
11970,REPLACEMENT OF TISSUE EXPANDER WITH PERMANENT IMPLANT
11971,REMOVAL OF TISSUE EXPANDER
11976,REMOVAL OF IMPLANTABLE CONTRACEPTIVE CAPSULES
11980,PLACEMENT OF HORMONE PELLET UNDER SKIN
11981,INSERTION OF DRUG DELIVERY IMPLANT INTO TISSUE
11982,REMOVAL OF DRUG DELIVERY IMPLANT FROM TISSUE
11983,REMOVAL WITH REINSERTION OF DRUG DELIVERY IMPLANT INTO TISSUE
12001,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS"
12002,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM"
12004,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM"
12005,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 12.6-20.0 CM"
12006,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 20.1-30.0 CM"
12007,"SIMPLE REPAIR OF SURFACE WOUND TO SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, MORE THAN 30.0 CM"
1200F,SEIZURE TYPE(S) AND CURRENT SEIZURE FREQUENCY(IES) DOCUMENTED (EPI)
12011,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.5 CM OR LESS"
12013,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.6-5.0 CM"
12014,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 5.1-7.5 CM"
12015,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 7.6-12.5 CM"
12016,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 12.6-20.0 CM"
12017,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 20.1-30.0 CM"
12018,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, MORE THAN 30.0 CM"
12020,SIMPLE CLOSURE OF SURFACE WOUND REOPENING
12021,REPAIR OF SEPARATION OF WOUND CLOSURE WITH INSERTION OF PACKING
12031,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS"
12032,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM"
12034,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM"
12035,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 12.6-20.0 CM"
12036,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 20.1-30.0 CM"
12037,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, MORE THAN 30.0 CM"
12041,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 2.5 CM OR LESS"
12042,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 2.6-7.5 CM"
12044,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 7.6-12.5 CM"
12045,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 12.6-20.0 CM"
12046,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 20.1-30.0 CM"
12047,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, MORE THAN 30.0 CM"
12051,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.5 CM OR LESS"
12052,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.6-5.0 CM"
12053,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 5.1-7.5 CM"
12054,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 7.6-12.5 CM"
12055,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 12.6-20.0 CM"
12056,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 20.1-30.0 CM"
12057,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, MORE THAN 30.0 CM"
1205F,ETIOLOGY OF EPILEPSY OR EPILEPSY SYNDROME(S) REVIEWED AND DOCUMENTED (EPI)
1220F,PATIENT SCREENED FOR DEPRESSION (SUD)
13100,"COMPLICATED REPAIR OF WOUND OF TRUNK, 1.1-2.5 CM"
13101,"COMPLICATED REPAIR OF WOUND OF TRUNK, 2.6-7.5 CM"
13102,"COMPLICATED REPAIR OF WOUND OF TRUNK, EACH ADDITIONAL 5.0 CM OR LESS"
13120,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, 1.1-2.5 CM"
13121,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, 2.6-7.5 CM"
13122,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, EACH ADDITIONAL 5.0 CM OR LESS"
13131,"COMPLICATED REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, 1.1-2.5 CM"
13132,"COMPLICATED REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, 2.6-7.5 CM"
13133,"COMPLICATED REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, EACH ADDITIONAL 5.0 CM OR LESS"
13151,"COMPLICATED REPAIR OF WOUND OF EYELIDS, NOSE, EARS, OR LIP, 1.1-2.5 CM"
13152,"COMPLICATED REPAIR OF WOUND OF EYELIDS, NOSE, EARS, OR LIP, 2.6-7.5 CM"
13153,"COMPLICATED REPAIR OF WOUND OF EYELIDS, NOSE, EARS, OR LIP, EACH ADDITIONAL 5.0 CM OR LESS"
13160,EXTENSIVE OR COMPLICATED REPAIR OF SURFACE WOUND REOPENING
14000,"REPAIR OF WOUND OF TRUNK BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS"
14001,"REPAIR OF WOUND OF TRUNK BY TRANSFERRING SKIN, 10.1-30.0 SQ CM"
1400F,PARKINSON'S DISEASE DIAGNOSIS REVIEWED (PRKNS)
14020,"REPAIR OF WOUND OF SCALP, ARMS, OR LEGS BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS"
14021,"REPAIR OF WOUND OF SCALP, ARMS, OR LEGS BY TRANSFERRING SKIN, 10.1-30.0 SQ CM"
14040,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS"
14041,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.1-30.0 SQ CM"
14060,"REPAIR OF WOUND OF EYELIDS, NOSE, EARS, OR LIPS BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS"
14061,"REPAIR OF WOUND OF EYELIDS, NOSE, EARS, OR LIPS BY TRANSFERRING SKIN, 10.1-30.0 SQ CM"
14301,"REPAIR OF WOUND BY TRANSFERRING SKIN, 30.1-60.0 SQ CM"
14302,"REPAIR OF WOUND BY TRANSFERRING SKIN, EACH ADDITIONAL 30.0 SQ CM"
14350,REPAIR OF TISSUE LOSS OF FINGER OR TOE
1450F,SYMPTOMS IMPROVED OR REMAINED CONSISTENT WITH TREATMENT GOALS SINCE LAST ASSESSMENT (HF)
1451F,SYMPTOMS DEMONSTRATED CLINICALLY IMPORTANT DETERIORATION SINCE LAST ASSESSMENT (HF)
1460F,QUALIFYING CARDIAC EVENT/DIAGNOSIS IN PREVIOUS 12 MONTHS (CAD)
1461F,NO QUALIFYING CARDIAC EVENT/DIAGNOSIS IN PREVIOUS 12 MONTHS (CAD)
1490F,"DEMENTIA SEVERITY CLASSIFIED, MILD (DEM)"
1491F,"DEMENTIA SEVERITY CLASSIFIED, MODERATE (DEM)"
1493F,"DEMENTIA SEVERITY CLASSIFIED, SEVERE (DEM)"
1494F,COGNITION ASSESSED AND REVIEWED (DEM)
15002,"PREPARATION OF SKIN GRAFT SITE OF TRUNK, ARMS, OR LEGS, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15003,"PREPARATION OF SKIN GRAFT SITE OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15004,"PREPARATION OF SKIN GRAFT SITE OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15005,"PREPARATION OF SKIN GRAFT SITE OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
1500F,SYMPTOMS AND SIGNS OF DISTAL SYMMETRIC POLYNEUROPATHY REVIEWED AND DOCUMENTED (DSP)
15011,"HARVEST OF SKIN FOR SKIN CELL SUSPENSION SELF SKIN GRAFT, FIRST 25 SQ CM OR LESS"
15012,"HARVEST OF SKIN FOR SKIN CELL SUSPENSION SELF SKIN GRAFT, EACH ADDITIONAL 25 SQ CM"
15013,"PREPARATION OF SKIN CELL SUSPENSION SELF SKIN GRAFT, FIRST 25 SQ CM OR LESS OF HARVESTED SKIN"
15014,"PREPARATION OF SKIN CELL SUSPENSION SELF SKIN GRAFT, EACH ADDITIONAL 25 SQ CM OR LESS OF HARVESTED SKIN"
15015,"APPLICATION OF SKIN CELL SUSPENSION SELF SKIN GRAFT TO WOUND AND DONOR SITES TO TRUNK, ARMS, LEGS, FIRST 480 SQ CM OR LESS"
15016,"APPLICATION OF SKIN CELL SUSPENSION SELF SKIN GRAFT TO WOUND AND DONOR SITES TO TRUNK, ARMS, LEGS, EACH ADDITIONAL 480 SQ CM"
15017,"APPLICATION OF SKIN CELL SUSPENSION SELF SKIN GRAFT TO WOUND AND DONOR SITES TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, EYE SOCKETS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE FINGERS/TOES, FIRST 480 SQ CM OR LESS"
15018,"APPLICATION OF SKIN CELL SUSPENSION SELF SKIN GRAFT TO WOUND AND DONOR SITES TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, EYE SOCKETS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE FINGERS/TOES, EACH ADDITIONAL 480 SQ CM"
1501F,NOT INITIAL EVALUATION FOR CONDITION (DSP)
1502F,PATIENT QUERIED ABOUT PAIN AND PAIN INTERFERENCE WITH FUNCTION USING A VALID AND RELIABLE INSTRUMENT (DSP)
1503F,PATIENT QUERIED ABOUT SYMPTOMS OF RESPIRATORY INSUFFICIENCY (ALS)
15040,"RELOCATION OF SKIN FOR SELF SKIN GRAFT, 100.0 SQ CM OR LESS"
1504F,PATIENT HAS RESPIRATORY INSUFFICIENCY (ALS)
15050,"SKIN GRAFT TO TIP OF FINGER OR TOE, 2.0 CM OR LESS"
1505F,PATIENT DOES NOT HAVE RESPIRATORY INSUFFICIENCY (ALS)
15100,"PARTIAL THICKNESS SELF SKIN GRAFT TO TRUNK, ARMS, OR LEGS, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15101,"PARTIAL THICKNESS SELF SKIN GRAFT OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15110,"OUTER LAYER SELF SKIN GRAFT OF TRUNK, ARMS, OR LEGS, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15111,"OUTER LAYER SELF SKIN GRAFT TO TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15115,"OUTER LAYER SELF SKIN GRAFT OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15116,"OUTER LAYER SELF SKIN GRAFT OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15120,"PARTIAL THICKNESS SELF SKIN GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15121,"PARTIAL THICKNESS SELF SKIN GRAFT OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15130,"DEEP LAYER SELF SKIN GRAFT OF TRUNK, ARMS, OR LEGS, 100.0 SQ CM OR 1% BODY AREA OF INFANTS AND CHILDREN, OR LESS"
15131,"DEEP LAYER SELF SKIN GRAFT OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA OF INFANTS AND CHILDREN, OR LESS"
15135,"DEEP LAYER SELF SKIN GRAFT OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 100.0 SQ CM OR 1% BODY AREA OF INFANTS AND CHILDREN, OR LESS"
15136,"DEEP LAYER SELF SKIN GRAFT OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA OF INFANTS AND CHILDREN, OR LESS"
15150,"TISSUE SKIN GRAFT FROM SELF OF TRUNK, ARMS, OR LEGS, 25.0 SQ CM OR LESS"
15151,"TISSUE SKIN GRAFT FROM SELF OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 1.0-75.0 SQ CM"
15152,"TISSUE SKIN GRAFT FROM SELF OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 100.0 SQ CM OR 1% OF BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15155,"TISSUE SELF SKIN GRAFT OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 25.0 SQ CM OR LESS"
15156,"TISSUE SKIN GRAFT FROM SELF OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 75.0 SQ CM"
15157,"TISSUE SKIN GRAFT FROM SELF OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 100.0 SQ CM OR 1% OF BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15200,"FULL THICKNESS SKIN GRAFT TO TRUNK, 20.0 SQ CM OR LESS"
15201,"FULL THICKNESS SKIN GRAFT TO TRUNK, EACH ADDITIONAL 20.0 SQ CM"
15220,"FULL THICKNESS SKIN GRAFT TO SCALP, ARMS, OR LEGS, 20.0 SQ CM OR LESS"
15221,"FULL THICKNESS SKIN GRAFT TO SCALP, ARMS, OR LEGS, EACH ADDITIONAL 20.0 SQ CM"
15240,"FULL THICKNESS SKIN GRAFT TO FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, 20.0 SQ CM OR LESS"
15241,"FULL THICKNESS SKIN GRAFT TO FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, EACH ADDITIONAL 20.0 SQ CM"
15260,"FULL THICKNESS SKIN GRAFT TO NOSE, EARS, EYELIDS, OR LIPS, 20.0 SQ CM OR LESS"
15261,"FULL THICKNESS SKIN GRAFT TO NOSE, EARS, EYELIDS, OR LIPS, EACH ADDITIONAL 20.0 SQ CM"
15271,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF TRUNK, ARMS, OR LEGS, 25.0 SQ CM OR LESS OF WOUND 100.0 SQ CM OR LESS"
15272,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 25.0 SQ CM OF WOUND 100.0 SQ CM OR LESS"
15273,"SKIN SUBSTITUTE GRAFT TO WOUND 100.0 SQ CM OR MORE OF TRUNK, ARMS, OR LEGS, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15274,"SKIN SUBSTITUTE GRAFT TO WOUND 100.0 SQ CM OR MORE OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15275,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 25.0 SQ CM OR LESS OF WOUND 100.0 SQ CM OR LESS"
15276,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 25.0 SQ CM OF WOUND 100.0 SQ CM OR LESS"
15277,"SKIN SUBSTITUTE GRAFT TO WOUND 100.0 SQ CM OR MORE OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15278,"SKIN SUBSTITUTE GRAFT TO WOUND 100.0 SQ CM OR MORE OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS"
15570,CREATION OF FLAP GRAFT TO TRUNK
15572,"CREATION OF FLAP GRAFT TO SCALP, ARMS, OR LEGS"
15574,"CREATION OF FLAP GRAFT TO FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET"
15576,"CREATION OF FLAP GRAFT TO EYELIDS, NOSE, EARS, LIPS, OR MOUTH"
15600,TRANSFER OF SKIN FLAP TO TRUNK
15610,"TRANSFER OF SKIN FLAP TO SCALP, ARMS, OR LEGS"
15620,"TRANSFER OF SKIN FLAP TO FOREHEAD, CHEEKS, CHIN, NECK, UNDERARMS, GENITALS, HANDS, OR FEET"
15630,"TRANSFER OF SKIN FLAP TO EYELIDS, NOSE, EARS, OR LIPS"
15650,TRANSFER OF SKIN FLAP
15730,CREATION OF FLAP GRAFT TO MIDFACE
15731,"CREATION OF FLAP GRAFT TO NOSE, FOREHEAD, TEMPLE, OR SCALP"
15732,MUSCLE FLAP WOUND REPAIR AT HEAD AND NECK
15733,CREATION OF FLAP GRAFT TO HEAD AND/OR NECK
15734,CREATION OF MUSCLE GRAFT TO TRUNK
15736,CREATION OF MUSCLE GRAFT TO ARM
15738,CREATION OF MUSCLE GRAFT TO LEG
15740,CREATION OF SKIN AND TISSUE GRAFT
15750,CREATION OF NERVE AND BLOOD VESSEL SKIN GRAFT
15756,MUSCLE GRAFT WITH REPAIR OF SMALL BLOOD VESSEL
15757,SKIN GRAFT WITH REPAIR OF SMALL BLOOD VESSEL
15758,TISSUE GRAFT WITH REPAIR OF SMALL BLOOD VESSEL
15760,GRAFT WITH CLOSURE OF WOUND
15769,SELF SOFT TISSUE GRAFT
15770,"CREATION OF SKIN, FAT AND MUSCLE GRAFT"
15771,"GRAFT USING PATIENT'S FAT REMOVED BY LIPOSUCTION AND INSERTED INTO TRUNK, BREASTS, SCALP, ARMS, OR LEGS, 50.0 CC OR LESS"
15772,"GRAFT USING PATIENT'S FAT REMOVED BY LIPOSUCTION AND INSERTED INTO TRUNK, BREASTS, SCALP, ARMS, OR LEGS, EACH ADDITIONAL 50.0 CC"
15773,"GRAFT USING PATIENT'S FAT REMOVED BY LIPOSUCTION AND INSERTED INTO FACE, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, OR FEET, 25.0 CC OR LESS"
15774,"GRAFT USING PATIENT'S FAT REMOVED BY LIPOSUCTION AND INSERTED INTO FACE, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, OR FEET, EACH ADDITIONAL 25.0 CC"
15775,"HAIR TRANSPLANT, 1-15 PUNCH GRAFTS"
15776,"HAIR TRANSPLANT, MORE THAN 15 PUNCH GRAFTS"
15777,IMPLANTATION OF BIOLOGIC IMPLANT TO SOFT TISSUE
15778,IMPLANTATION OF ARTIFICIAL MATERIAL FOR DELAYED CLOSURE OF DEFECTS DUE TO SOFT TISSUE INFECTION OR TRAUMA
15780,DERMABRASION OF SKIN OF TOTAL FACE
15781,DERMABRASION OF SKIN OF PART OF FACE
15782,DERMABRASION OF SKIN OTHER THAN FACE
15783,DERMABRASION OF SUPERFICIAL SCARS OR TATTOOS FROM SKIN
15786,"SCRAPING OF SKIN GROWTH, FIRST GROWTH"
15787,"SCRAPING OF SKIN GROWTH, EACH ADDITIONAL 1-4 GROWTHS"
15788,CHEMICAL PEEL OF OUTER LAYER OF SKIN OF FACE
15789,CHEMICAL PEEL OF DEEP LAYER OF SKIN OF FACE
15792,CHEMICAL PEEL OF OUTER LAYER OF NONFACIAL SKIN
